segment_name,md5,program,from_date
preactivated,7804e4fd93233831ed924ac4309ae3c6,oferting,2017-09-07 00:00:00.000000
clickers,14e7827ff3ab2aa2d6835a19f25710bd,oferting,2017-09-07 00:00:00.000000
new,b5fd4d53f4bbeb502a2e31a3d4541abf,oferting,2017-09-07 00:00:00.000000
stranger,cad4436abc02f60ba03cf596fc841d83,oferting,2017-09-07 00:00:00.000000
new,935db02d6b580656097eb73d926c1f55,oferting,2017-09-07 00:00:00.000000
new,7f067a8c4c7b819249e1f4204cd98ddb,oferting,2017-09-07 00:00:00.000000
frequent openers,69d654e92b34bf7f666fd9d15bd6ebac,oferting,2017-09-07 00:00:00.000000
frequent openers,658b28038496c7ee2d21736220fd018a,oferting,2017-09-07 00:00:00.000000
frequent openers,684db62d4ac38744aea23322a982dc82,oferting,2017-09-07 00:00:00.000000
awaken,fb8eca78bf9916c40f288abff561b74a,oferting,2017-09-07 00:00:00.000000
frequent openers,091c251311d88eb0ee2740f1b8b12906,oferting,2017-09-07 00:00:00.000000
frequent openers,6ff89c231fa925831b909f157d25eefc,oferting,2017-09-07 00:00:00.000000
new,ff7f798d7d515b83e9d140201f12e81e,oferting,2017-09-07 00:00:00.000000
total inactive,038b1c13433162bce3b8ed4595697ac7,oferting,2017-09-07 00:00:00.000000
new,73af4b1b041d8a102ea2d0b017fbc3ab,oferting,2017-09-07 00:00:00.000000
frequent openers,5e6ff99460121d4881b6839b56b22a74,oferting,2017-09-07 00:00:00.000000
stranger,7841b34cef5d776a43c7982ade11dc1d,oferting,2017-09-07 00:00:00.000000
frequent openers,9eb64dac89e64e3939946a06eeb2adfe,oferting,2017-09-07 00:00:00.000000
new,6eb9402a008ca9df83fbab9dade9c44e,oferting,2017-09-07 00:00:00.000000
halfslept,64c257b7dc9e192002e495d07f022902,oferting,2017-09-07 00:00:00.000000
frequent openers,65782a273fe74a7d50ae9742b23335a8,oferting,2017-09-07 00:00:00.000000
halfslept,914042569250320554b26b1144e2f687,oferting,2017-09-07 00:00:00.000000
clickers,a76fba503a61c5fe50741aa5aaecd18e,oferting,2017-09-07 00:00:00.000000
frequent openers,169ae01e5db061d2b1fcbf6ad43b518d,oferting,2017-09-07 00:00:00.000000
preactivated,9af59f94429388e9fe804b00434d1afb,oferting,2017-09-07 00:00:00.000000
new,f12d8a5de9838b11ed3cea8a3fc6b684,oferting,2017-09-07 00:00:00.000000
frequent openers,9e924ebbe5bfcc9c587fc328dd1560db,oferting,2017-09-07 00:00:00.000000
frequent openers,09f3b8409c57f1b9041a64a2ba5d1472,oferting,2017-09-07 00:00:00.000000
new,558b3ad48b1ea03914512b38ef034352,oferting,2017-09-07 00:00:00.000000
frequent openers,39ed9619327859fee6c75287225d42a2,oferting,2017-09-07 00:00:00.000000
frequent openers,563341dea7e03e6f5a885ecfcc14ed3f,oferting,2017-09-07 00:00:00.000000
frequent openers,c8140c0ceb4857037849588031dd4f63,oferting,2017-09-07 00:00:00.000000
new,5afeffdef25757eee0d305890580b1dd,oferting,2017-09-07 00:00:00.000000
preactivated,c07d686604a7b1e0e878b06edf4ea13f,oferting,2017-09-07 00:00:00.000000
new,53c9fe80ed02ccd91bace77c6b09100c,oferting,2017-09-07 00:00:00.000000
frequent openers,45ed7102496d1f7b4f1691edf875daba,oferting,2017-09-07 00:00:00.000000
stranger,7adc0d3bd980f216e0f78d2a605b3b2b,clicplan,2017-09-07 00:00:00.000000
halfslept,5fab9afb225f122d937adf074be39269,clicplan,2017-09-07 00:00:00.000000
new,716bab83abc9e8499c60069388be2987,clicplan,2017-09-07 00:00:00.000000
new,69bbc147a16fa8064ad4b9d9fb3ea52a,clicplan,2017-09-07 00:00:00.000000
new,0080c8d8430bb8b5389207a58e164131,clicplan,2017-09-07 00:00:00.000000
reactivated,fd691ed5d656c74e48492ba25b5e763e,clicplan,2017-09-07 00:00:00.000000
frequent openers,74e4bdffd7b3dd4abff588f910f53395,clicplan,2017-09-07 00:00:00.000000
new,bbf2903fdc85a14f506a49692bd58166,clicplan,2017-09-07 00:00:00.000000
preactivated,0b0540dc9347a52f8b351b012d7ea4e3,clicplan,2017-09-07 00:00:00.000000
stranger,bdb8a2d0e01dc0d58066d1433d8b2ade,clicplan,2017-09-07 00:00:00.000000
aop,b35c7aa40ff43236375e5c7d155e18bd,clicplan,2017-09-07 00:00:00.000000
frequent openers,47773e977d3e334f2dff2c660a2da3a5,clicplan,2017-09-07 00:00:00.000000
new,aaa14ba91734e5d8fdf1e2c42c239483,clicplan,2017-09-07 00:00:00.000000
total inactive,9f8d4ab76426a85138c63411d18ced34,clicplan,2017-09-07 00:00:00.000000
frequent openers,2e86ece14d8832029c1f6996f6c7b9cd,clicplan,2017-09-07 00:00:00.000000
total inactive,facfe651b397538af563b3aed1c04ba3,clicplan,2017-09-07 00:00:00.000000
clickers,19b4489da3a00c1b4e82f21507aae43d,clicplan,2017-09-07 00:00:00.000000
frequent openers,61e80df935a7a50562169259553ee696,clicplan,2017-09-07 00:00:00.000000
aop,82111141dc3c3975f52cc20a642bad91,clicplan,2017-09-07 00:00:00.000000
reactivated,e46d991c40e1141eb7ac3f3c1635f06c,clicplan,2017-09-07 00:00:00.000000
frequent openers,9a62a24350f466ef8193ac7257a41c34,clicplan,2017-09-07 00:00:00.000000
clickers,b8e1aade924cdadd4208bc4ce801d882,clicplan,2017-09-07 00:00:00.000000
frequent openers,5494b4f0c66d7cb1791cbb636ffa607b,clicplan,2017-09-07 00:00:00.000000
new,e34d6b1ba6ff918e2cee7b2cc2def3b1,clicplan,2017-09-07 00:00:00.000000
clickers,6f5303d0fcf9a06c75a99a5fa0483de4,clicplan,2017-09-07 00:00:00.000000
preactivated,2e7e60e8ee19c9dd1db6451161676301,clicplan,2017-09-07 00:00:00.000000
clickers,0dce7aa3c9cbbf016f45ed911d9ac8a9,clicplan,2017-09-07 00:00:00.000000
new,67c662a2040eef80b1c2d80527489320,clicplan,2017-09-07 00:00:00.000000
frequent openers,694fc705ca7e36e91eb0ff61e78d567e,clicplan,2017-09-07 00:00:00.000000
frequent openers,50b9c38860065aeb8a37e478ad15e5b3,clicplan,2017-09-07 00:00:00.000000
frequent openers,569a26af602b4d0fe7485dc6614175e8,clicplan,2017-09-07 00:00:00.000000
preactivated,d8e00454157f807822a9d7d4c824d483,clicplan,2017-09-07 00:00:00.000000
frequent openers,6e76ec697c84a3537f4bc25bfb4d5e71,clicplan,2017-09-07 00:00:00.000000
new,8f7d6fb26f08b01dd8b90b95f96f5b4a,clicplan,2017-09-07 00:00:00.000000
new,cf9cb3721d70a5e8be4e963cf17fb64f,clicplan,2017-09-07 00:00:00.000000
new,da95616d41cc5680a731ba47cc8c7e26,clicplan,2017-09-07 00:00:00.000000
frequent openers,11f7851bae5a23ae5f5cdcdbf1833664,clicplan,2017-09-07 00:00:00.000000
frequent openers,d08f94bffecb1b10ca98d1cd3d0aa36c,clicplan,2017-09-07 00:00:00.000000
total inactive,4edd8a9f9a10f49d8727d48acaac48e4,clicplan,2017-09-07 00:00:00.000000
slept,d27cae72f904eda6c909105939eafe1f,clicplan,2017-09-07 00:00:00.000000
stranger,4713b82cb339fb3bb56cad93666c2b2b,clicplan,2017-09-07 00:00:00.000000
new,e5f7f56456c69d9e7854d3701e30dc24,clicplan,2017-09-07 00:00:00.000000
new,f0899fd7058ed7c657afbf3fe268612e,clicplan,2017-09-07 00:00:00.000000
frequent openers,c37c576281135421176cb77f6636c097,clicplan,2017-09-07 00:00:00.000000
frequent openers,b8d95393cfc66e6d637bbbfa61debcbc,clicplan,2017-09-07 00:00:00.000000
frequent openers,0cd6c1184cca6ab5e4c1f01b37d86595,clicplan,2017-09-07 00:00:00.000000
frequent openers,b7e5a65137371ab4d7aae8706ce5a5ac,clicplan,2017-09-07 00:00:00.000000
frequent openers,1f09c26f11ba3cd620f5f9717f57824d,clicplan,2017-09-07 00:00:00.000000
new,685f1cc3ea4d358494367af4a586f7b7,clicplan,2017-09-07 00:00:00.000000
new,68d8049b7cd813775983bbda9a925de8,clicplan,2017-09-07 00:00:00.000000
new,fb01bfb8994479343903c02b9bba0212,clicplan,2017-09-07 00:00:00.000000
frequent openers,645b2c0e34c382e2c3958d598d4d22e7,clicplan,2017-09-07 00:00:00.000000
frequent openers,f0fc854fd45d8a6e8e39678308c806a1,clicplan,2017-09-07 00:00:00.000000
slept,5c8d56ff240c0be6d5eebdab271c2ee3,clicplan,2017-09-07 00:00:00.000000
frequent openers,083f837789485b2d24ed84a92a43b985,clicplan,2017-09-07 00:00:00.000000
stranger,1f59b039fd5e02e982ecb9672c01730c,clicplan,2017-09-07 00:00:00.000000
frequent openers,902f6464420a3086864f24f36bf99c9b,clicplan,2017-09-07 00:00:00.000000
new,239bd9fc65cc6514bd54264fc16b1400,clicplan,2017-09-07 00:00:00.000000
new,b77c3b966b7f09ad304d745b7043f15c,clicplan,2017-09-07 00:00:00.000000
halfslept,dd9787c88fee530c8ec4fdea417f345b,clicplan,2017-09-07 00:00:00.000000
total inactive,9548863aaad8b4f2d5d48e4bfd7a35cc,clicplan,2017-09-07 00:00:00.000000
